time,Lat,Lon,Alt,pressure,temp,humidity
12:35:30,420276443,-936541909,263364,99376,-547,53112
12:35:30,420276443,-936541909,263364,99376,-548,53174
12:35:30,420276443,-936541909,263364,99378,-550,53256
12:35:30,420276443,-936541909,263364,99384,-552,53307
12:35:42,420276454,-936541873,264728,99382,-555,53489
12:35:45,420276457,-936541876,264653,99382,-558,53579
12:35:45,420276457,-936541876,264653,99382,-560,53718
12:35:45,420276457,-936541876,264653,99382,-558,53814
12:35:45,420276457,-936541876,264653,99382,-558,53958
12:35:45,420276457,-936541876,264653,99380,-557,54036
12:35:45,420276457,-936541876,264653,99380,-555,54104
12:35:45,420276457,-936541876,264653,99382,-554,54160
12:35:45,420276457,-936541876,264653,99380,-553,54175
12:35:45,420276457,-936541876,264653,99382,-553,54200
12:35:45,420276457,-936541876,264653,99380,-556,54167
12:35:45,420276457,-936541876,264653,99380,-560,54166
12:35:45,420276457,-936541876,264653,99380,-566,54200
12:35:45,420276457,-936541876,264653,99380,-569,54245
12:35:45,420276457,-936541876,264653,99380,-572,54291
12:35:45,420276457,-936541876,264653,99380,-574,54373
12:35:45,420276457,-936541876,264653,99382,-575,54411
12:35:45,420276457,-936541876,264653,99382,-578,54485
12:35:45,420276457,-936541876,264653,99382,-580,54574
12:35:45,420276457,-936541876,264653,99382,-582,54685
12:35:45,420276457,-936541876,264653,99378,-584,54755
12:35:45,420276457,-936541876,264653,99380,-585,54870
12:35:45,420276457,-936541876,264653,99380,-584,55061
12:35:45,420276457,-936541876,264653,99380,-583,55487
12:35:45,420276457,-936541876,264653,99382,-581,55728
12:35:45,420276457,-936541876,264653,99382,-577,55976
12:35:45,420276457,-936541876,264653,99382,-575,56104
12:35:45,420276457,-936541876,264653,99382,-576,56309
12:35:45,420276457,-936541876,264653,99382,-576,56446
12:35:45,420276457,-936541876,264653,99382,-574,56501
12:35:45,420276457,-936541876,264653,99380,-573,56554
12:35:45,420276457,-936541876,264653,99380,-574,56613
